ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2234,1994,11,14,19,15,30.6,4,1,32,7.1,PHILIPPINES,,PHILIPPINE ISLANDS,13.525,121.067,84,7.3,,2.9,2.1,,81,2,225,3,,,3.7,2,797,3,3288,4,81,2,,,225,3,3.7,2,797,3,3288,4
2245,1995,5,14,11,33,21.1,4,3,13,6.9,INDONESIA,,TIMOR SEA,-8.452,125.049,60,4,,2,1.5,,11,1,19,1,,,,1,,2,,,11,1,,,19,1,,1,,2,,
2252,1995,10,9,15,35,53.9,4,1,33,8,MEXICO,,S. MEXICO,19.055,-104.205,88,11,,2.3,2.5,,1,1,,,,,,1,,1,,,50,1,,,200,3,,2,,2,,
2259,1996,1,1,8,5,10.8,4,1,24,7.9,INDONESIA,,SULAWESI,0.729,119.931,83,3.43,,2.3,1.8,,9,1,63,2,,,1.2,2,400,3,,,9,1,,,63,2,1.2,2,400,3,,
2260,1996,2,17,5,59,30.5,4,1,33,8.2,INDONESIA,,IRIAN JAYA,-0.891,136.952,83,7.7,,2.9,1.8,,110,3,100,2,,,4.2,2,,4,,,164,3,,,432,2,4.2,2,5043,4,,
2261,1996,2,21,12,51,1.3,4,1,10,7.5,PERU,,N. PERU,-9.593,-79.587,89,5.1,,2.3,1.9,,12,1,57,2,,,,1,15,1,22,1,12,1,,,57,2,,1,15,1,22,1
2281,1998,7,17,8,49,16.1,4,3,25,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-2.943,142.582,82,15.03,,,,,2205,4,1000,3,28,1,,3,,,,,2205,4,28,1,1000,3,,3,,,,
2326,1999,8,17,0,1,39.1,4,1,13,7.6,TURKEY,,"KOCAELI, TURKEY",40.76,29.97,50,2.52,,,,,155,3,,,,,,2,,,,,17118,4,,,50000,4,20000,4,,,50000,4
2339,1999,11,26,13,21,15.5,4,1,33,7.5,VANUATU,,VANUATU ISLANDS,-16.423,168.214,82,6.6,,,,0,5,1,,,,,,3,,3,,,10,1,,,100,2,,3,,3,,
2373,2001,6,23,20,33,14.1,4,1,33,8.4,PERU,,S. PERU,-16.265,-73.641,89,8.8,,,,2,26,1,,,70,2,,4,2000,4,,,103,3,138,3,2713,4,200,4,25399,4,,
