I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
4100,Tsu,1956,7,9,3,11,39,20,7.8,,7.8,,,,,9,GREECE,,GREECE:  DODECANESE,36.9,26,130,53,2,,,,,,3,,,,,56,2,,,,,,3,,,,
7771,Tsu,1956,7,9,3,24,,,6.8,,6.8,,,,,,GREECE,,GREECE:  AEGEAN SEA,36.8,25.2,130,,,,,,,,,,,,,,,,,,,,,,,,
6374,Tsu,1956,8,12,16,59,37.6,50,6.5,,6.5,,,,,,JAPAN,,JAPAN:  IZU PENINSULA,33.8,138.8,30,,,,,,,,,,,,,,,,,,,,,,,,
4108,Tsu,1956,11,2,16,4,    ,,5.7,,,,,,5.7,8,GREECE,,GREECE:  VOLOS-AGRIA (MAGNESIA),39.5,23,130,,2,,,,,,,,,,,,,,,,,,,,,,
6375,Tsu,1956,12,18,2,31,3,33,,,,,,,,,CHILE,,CHILE:  ANTOFAGASTA,-25.5,-71,160,,,,,,,,,,,,,,,,,,,,,,,,
4116,Tsu,1957,3,9,14,22,31.9,33,8.6,8.6,9.1,,,,,,USA,AK,ALASKA,51.292,-175.629,150,,,,,,,,1,,,,,2,1,,,1,1,,3,,,,
4132,Tsu,1957,6,22,23,50,23,33,7.3,,7.3,,,,,,INDONESIA,,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.5,137,170,,,,,,,,3,,,,,,,,,,,,3,,,,
4139,Tsu,1957,7,28,8,40,1,25,7.9,,7.9,,,,,7,MEXICO,,"MEXICO:  ACAPULCO,MEXICO CITY",16.5,-99.1,150,65,2,,,,3,25,4,,3,,,65,2,,,,3,25,4,,3,,
6546,Tsu,1957,7,29,17,15,14,33,7,,7,,,,,3,CHILE,,CHILE:  ANTOFAGASTA,-23.5,-71.5,160,,,,,,,,,,,,,,,,,,,,,,,,
6377,Tsu,1957,9,26,,,,,,,,,,,,,INDONESIA,,S. JAVA SEA,-8.2,107.3,170,,,,,,,,,,,,,,,,,,,,,,,,
6378,Tsu,1957,10,26,14,16,57,,6,,6,,,,,,INDONESIA,,INDONESIA:  KALIMANTAN ISLAND,-2,116,170,,,,,,,,,,,,,,,,,,,,,,,,
6379,Tsu,1957,11,,,,    ,,,,,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,,,170,,,,,,,,,,,,,,,,,,,,,,,,
4160,Tsu,1958,1,19,14,7,27,60,7.6,,7.6,,,,,9,COLOMBIA,,COLOMBIA-ECUADOR,1.5,-79.5,160,111,3,,,46,1,,2,,2,,,115,3,,,46,1,,2,,2,,
8048,Tsu,1958,2,7,23,23,36,,6.2,,6.2,,,,,7,CHINA,,CHINA:  SICHUAN PROVINCE,31.5,104,30,,,,,,,,1,,1,,,,,,,,,,1,,1,,
6324,Tsu,1958,4,21,22,37,36,200,6.7,,6.7,,,,,,INDONESIA,,INDONESIA:  SUMATRA:  BENGKULU,-4.5,104,170,,,,,,,,,,,,,,,,,,,,,,,,
4167,Tsu,1958,7,10,6,15,59.9,35,7.8,7.8,7.9,,,,,11,USA,AK,ALASKA:  LITUYA BAY,58.37,-136.665,150,,,,,,,,1,,1,,,5,1,,,,,0.1,1,,1,,
6380,Tsu,1958,9,17,12,24,    ,,,,,,,,,,RUSSIA,,RUSSIA:  N. KURIL ISLANDS,49.3,156.4,50,,,,,,,,,,,,,,,,,,,,,,,,
6381,Tsu,1958,11,4,22,54,46,,6.1,,6.1,,,,,,PACIFIC OCEAN,,EAST PACIFIC RIDGE,-50,-115,170,,,,,,,,,,,,,,,,,,,,,,,,
