I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
18963,904,1861,1.2667,97.5667
18964,904,1861,-3.767,102.267
870,904,1861,1.5,97.2
872,904,1861,-0.05,98.2667
871,904,1861,-0.95,100.35
25443,904,1861,0.187,99.311
25444,904,1861,0.55,99.1167
25445,904,1861,1.729,98.785
25446,904,1861,2.008,98.403
25447,904,1861,-6.3125,107.295
867,904,1861,5.5,95.3
25448,905,1861,,
874,904,1861,2.28,97.79
873,904,1861,-0.0666667,97.86667
866,904,1861,4.15,96.1
869,904,1861,0.55,97.75
877,907,1861,-0.05,98.2667
876,907,1861,,
25441,907,1861,,
875,907,1861,-0.0666667,97.86667
25280,906,1861,-3.683,128.183
879,909,1861,2.28,97.79
880,910,1861,37.807,-122.465
881,2687,1861,,
15719,912,1861,-6.3,107.283
15718,912,1861,-5.966,107.117
17530,913,1861,0.2,99.383
882,914,1861,-2.06667,100.9333
884,915,1861,39.03,141.87
28274,915,1861,,
28275,915,1861,,
883,915,1861,38.367,141.167
887,918,1861,38.35,22.4
11676,918,1861,,
885,918,1861,,
11677,918,1861,,
11678,918,1861,,
11675,918,1861,,
888,919,1862,21.097,-156.765
25231,3443,1862,43.695667,7.2856
889,921,1862,-8.1158,110.8469
890,922,1862,32.715,-117.174
15725,3560,1862,,
17533,927,1863,-6.917,106.383
891,928,1863,14.55,121
892,929,1863,-18.7,169.1
28456,930,1863,44.89,141.74
893,934,1864,-0.898,134.1
894,934,1864,-2.5,135.3
9650,2794,1864,46.619,-53.569
10686,935,1865,-12.05,-77.15
28072,5539,1865,-12.05,-77.15
19462,936,1865,26.167,127.833
9807,938,1865,54,-167
896,939,1865,36.97,-122.02
897,940,1865,36.97,-122.02
29957,942,1865,13.36,123.73
898,943,1865,-21.0212,-175.0052
17491,943,1865,-21.208,-159.775
31955,943,1865,-8.933,-140.083
17504,943,1865,-21.35,-174.95
28073,944,1865,-12.05,-77.15
899,945,1866,41,20
900,948,1866,38.08,23.5
902,951,1866,36.2275,23.081
904,952,1866,40.472,19.474
9808,957,1866,58,-152
