ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
3392,1956,7,9,3,24,,3,1,,6.8,GREECE,,"AMORGOS ISLAND, AEGEAN ISLANDS",36.8,25.5,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1956,8,12,16,59,37.6,-1,1,50,6.5,JAPAN,,IZU PENINSULA,33.8,138.8,85,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,
1864,1956,11,2,16,4,33,2,1,,5.8,GREECE,,NORTH AEGEAN,39.5,23,50,1.2,,0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,
1865,1956,12,18,2,31,3,1,1,33,7,CHILE,,NORTHERN CHILE,-25.5,-71,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,1957,3,9,14,22,31.9,4,1,33,8.6,USA,AK,"ANDREANOF ISLANDS, AK",51.292,-175.629,87,22.8,,3.9,3,,2,1,1,1,,,,3,,1,,,2,1,,,1,1,,3,,1,,
1869,1957,6,22,23,50,23,3,1,33,7.3,INDONESIA,,NW. IRIAN JAYA,-1.5,137,83,1.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,1957,7,28,8,40,1,4,1,25,7.9,MEXICO,,S. MEXICO,16.5,-99.1,88,1.3,,1.3,0.5,,,,,,,,,,,,,,65,2,,,,3,25,4,,3,,
1871,1957,7,29,17,15,14,1,1,33,7,CHILE,,NORTHERN CHILE,-23.5,-71.5,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,1957,9,26,,,,3,1,,5.5,INDONESIA,,SOUTH OF JAVA,-8.2,107.3,60,0.7,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,1957,10,26,14,16,57,2,1,,6,INDONESIA,,MAKASSAR STRAIT,-2,116,83,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
